CALLS UPDATED,CALLS VOLUME,CALLS HIGH,CALLS LOW,CALLS PRIOR SETTLE,CALLS CHANGE,CALLS LAST,PUTS LAST,PUTS CHANGE,PUTS PRIOR SETTLE,PUTS LOW,PUTS HIGH,PUTS VOLUME,PUTS UPDATED,STRIKE PRICE,Date
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:05:02 CT 04 Feb 2021,0,0,0,17.4430,0,0,20000.0,2021-03-01
11:23:49 CT 05 Feb 2021,"3,766",0.1200,0.0750,0.0649,+0.0161,0.0810,08:23:03 CT 05 Feb 2021,52,0,0,0.3799,0,0,3250.0,2021-03-01
08:23:02 CT 05 Feb 2021,1,0.1260,0.1260,0.0691,+0.0569,0.1260,18:05:03 CT 04 Feb 2021,0,0,0,0.6834,0,0,3230.0,2021-03-01
11:22:15 CT 05 Feb 2021,681,0.1300,0.1000,0.0758,+0.0252,0.1010,11:00:28 CT 05 Feb 2021,25,0.3390,0.3390,0.3407,-0.0017,0.3390,3200.0,2021-03-01
10:50:22 CT 05 Feb 2021,301,0.1500,0.1040,0.0882,+0.0188,0.1070,08:23:03 CT 05 Feb 2021,0,0,0,0.3032,0,0,3150.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0965,0,0,08:23:03 CT 05 Feb 2021,0,0,0,0.2815,0,0,3120.0,2021-03-01
11:36:14 CT 05 Feb 2021,311,0.1670,0.1290,0.1025,+0.0265,0.1290,08:23:03 CT 05 Feb 2021,0,0,0,0.2674,0,0,3100.0,2021-03-01
11:10:25 CT 05 Feb 2021,201,0.1840,0.1310,0.1185,+0.0125,0.1310,08:23:03 CT 05 Feb 2021,5,0,0,0.2335,0,0,3050.0,2021-03-01
11:38:26 CT 05 Feb 2021,"1,989",0.2080,0.1480,0.1366,+0.0324,0.1690,11:00:08 CT 05 Feb 2021,359,0.1960,0.1640,0.2016,-0.0326,0.1690,3000.0,2021-03-01
09:55:02 CT 05 Feb 2021,2,0,0,0.1444,0,0,09:27:13 CT 05 Feb 2021,1,0.1700,0.1700,0.1894,-0.0194,0.1700,2980.0,2021-03-01
08:23:03 CT 05 Feb 2021,1,0,0,0.1568,0,0,11:06:53 CT 05 Feb 2021,24,0.1750,0.1370,0.1718,+0.0032,0.1750,2950.0,2021-03-01
08:23:03 CT 05 Feb 2021,1,0,0,0.1654,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.1604,0,0,2930.0,2021-03-01
11:18:57 CT 05 Feb 2021,474,0.1020,0.0680,0.0555,+0.0125,0.0680,08:23:03 CT 05 Feb 2021,0,0,0,0.4205,0,0,3300.0,2021-03-01
09:55:02 CT 05 Feb 2021,1,0,0,0.1744,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.1494,0,0,2910.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.1935,0,0,10:24:13 CT 05 Feb 2021,2,0.1100,0.1100,0.1285,-0.0185,0.1100,2870.0,2021-03-01
11:35:13 CT 05 Feb 2021,320,0.2670,0.2400,0.2036,+0.0364,0.2400,11:01:47 CT 05 Feb 2021,340,0.1220,0.0940,0.1186,+0.0014,0.1200,2850.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.2142,0,0,08:51:13 CT 05 Feb 2021,2,0.0850,0.0850,0.1092,-0.0242,0.0850,2830.0,2021-03-01
09:40:17 CT 05 Feb 2021,143,0.3160,0.2650,0.2309,+0.0391,0.2700,11:23:49 CT 05 Feb 2021,"1,472",0.1010,0.0740,0.0959,+0.0051,0.1010,2800.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.2427,0,0,08:23:02 CT 05 Feb 2021,1,0.0780,0.0780,0.0877,-0.0097,0.0780,2780.0,2021-03-01
