CALLS UPDATED,CALLS VOLUME,CALLS HIGH,CALL SLOW,CALLS PRIOR SETTLE,CALLS CHANGE,CALLS LAST,PUTS LAST,PUTS CHANGE,PUTS PRIOR SETTLE,PUTS LOW,PUTS HIGH,PUTS VOLUME,PUTS UPDATED,STRIKE PRICE,Date
16:45:00 CT 28 Jan 2021,0,-,-,0.0,-,-,-,-,0.094,-,-,0,16:45:00 CT 28 Jan 2021,2750.0,2021-02-01
16:45:00 CT 28 Jan 2021,0,-,-,0.006,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2650.0,2021-02-01
16:45:00 CT 28 Jan 2021,0,-,-,0.026,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2630.0,2021-02-01
16:45:00 CT 28 Jan 2021,0,-,-,0.056,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2600.0,2021-02-01
16:45:00 CT 28 Jan 2021,0,-,-,0.106,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2550.0,2021-02-01
16:45:00 CT 28 Jan 2021,0,-,-,0.126,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2530.0,2021-02-01
16:45:00 CT 28 Jan 2021,0,-,-,0.146,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2510.0,2021-02-01
16:45:00 CT 28 Jan 2021,0,-,-,0.156,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2500.0,2021-02-01
16:45:00 CT 28 Jan 2021,0,-,-,0.196,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2460.0,2021-02-01
16:45:00 CT 28 Jan 2021,0,-,-,0.0,-,-,-,-,0.044,-,-,0,16:45:00 CT 28 Jan 2021,2700.0,2021-02-01
16:45:00 CT 28 Jan 2021,0,-,-,0.196,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2460.0,2021-03-01
16:45:00 CT 28 Jan 2021,0,-,-,0.156,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2500.0,2021-03-01
16:45:00 CT 28 Jan 2021,0,-,-,0.146,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2510.0,2021-03-01
16:45:00 CT 28 Jan 2021,0,-,-,0.106,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2550.0,2021-03-01
16:45:00 CT 28 Jan 2021,0,-,-,0.126,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2530.0,2021-03-01
16:45:00 CT 28 Jan 2021,0,-,-,0.026,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2630.0,2021-03-01
16:45:00 CT 28 Jan 2021,0,-,-,0.006,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2650.0,2021-03-01
16:45:00 CT 28 Jan 2021,0,-,-,0.0,-,-,-,-,0.044,-,-,0,16:45:00 CT 28 Jan 2021,2700.0,2021-03-01
16:45:00 CT 28 Jan 2021,0,-,-,0.0,-,-,-,-,0.094,-,-,0,16:45:00 CT 28 Jan 2021,2750.0,2021-03-01
16:45:00 CT 28 Jan 2021,0,-,-,0.056,-,-,-,-,0.0,-,-,0,16:45:00 CT 28 Jan 2021,2600.0,2021-03-01
08:20:17 CT 03 Feb 2021,0,-,-,0.1625,-,-,-,-,0.3834,-,-,0,18:30:10 CT 02 Feb 2021,2910.0,2021-05-01
13:19:33 CT 03 Feb 2021,77,0.0590,0.0590,0.0751,-0.0161,0.0590,-,-,0.4571,-,-,0,08:20:17 CT 03 Feb 2021,3200.0,2021-05-01
10:43:26 CT 03 Feb 2021,2,-,-,0.0817,-,-,-,-,0.6081,-,-,0,18:29:27 CT 02 Feb 2021,3170.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.0864,-,-,-,-,0.5897,-,-,0,18:31:20 CT 02 Feb 2021,3150.0,2021-05-01
11:07:54 CT 03 Feb 2021,121,0.0920,0.0820,0.0992,-0.0172,0.0820,-,-,0.3812,-,-,0,08:20:17 CT 03 Feb 2021,3100.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.1106,-,-,-,-,0.5091,-,-,0,18:30:22 CT 02 Feb 2021,3060.0,2021-05-01
11:20:06 CT 03 Feb 2021,7,0.1050,0.1050,0.1136,-0.0086,0.1050,-,-,0.3456,-,-,0,08:20:17 CT 03 Feb 2021,3050.0,2021-05-01
13:25:33 CT 03 Feb 2021,"1,161",0.1200,0.0910,0.1295,-0.0265,0.1030,-,-,0.3115,-,-,0,08:20:18 CT 03 Feb 2021,3000.0,2021-05-01
13:20:26 CT 03 Feb 2021,12,-,-,0.1471,-,-,-,-,0.2791,-,-,0,08:20:17 CT 03 Feb 2021,2950.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.1547,-,-,-,-,0.3994,-,-,0,18:31:27 CT 02 Feb 2021,2930.0,2021-05-01
13:43:48 CT 03 Feb 2021,183,0.1500,0.1500,0.1665,-0.0165,0.1500,-,-,0.2485,-,-,71,13:43:48 CT 03 Feb 2021,2900.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.3537,-,-,0.0830,-0.0028,0.0858,0.0830,0.0830,26,13:21:27 CT 03 Feb 2021,2550.0,2021-05-01
10:28:42 CT 03 Feb 2021,3,-,-,0.1878,-,-,-,-,0.2198,-,-,0,08:20:17 CT 03 Feb 2021,2850.0,2021-05-01
09:11:47 CT 03 Feb 2021,1,-,-,0.2014,-,-,0.2270,+0.0236,0.2034,0.2270,0.2270,1,10:17:50 CT 03 Feb 2021,2820.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.2205,-,-,-,-,0.1825,-,-,1,11:41:46 CT 03 Feb 2021,2780.0,2021-05-01
13:19:32 CT 03 Feb 2021,28,0.1960,0.1960,0.2355,-0.0395,0.1960,0.1770,+0.0095,0.1675,0.1770,0.1770,100,13:19:32 CT 03 Feb 2021,2750.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.262,-,-,0.1530,+0.0090,0.144,0.1510,0.1530,262,09:46:18 CT 03 Feb 2021,2700.0,2021-05-01
08:20:18 CT 03 Feb 2021,17,-,-,0.2905,-,-,-,-,0.1225,-,-,20,13:13:56 CT 03 Feb 2021,2650.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.3025,-,-,-,-,0.1145,-,-,0,08:20:17 CT 03 Feb 2021,2630.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.3211,-,-,-,-,0.1031,-,-,154,13:06:35 CT 03 Feb 2021,2600.0,2021-05-01
09:46:46 CT 03 Feb 2021,1,-,-,0.0689,-,-,-,-,0.664,-,-,0,18:30:23 CT 02 Feb 2021,3230.0,2021-05-01
